Year,Fertilizer,Production,Sales/Usage
2013-2014,Urea,8.39,24.62
,TSP,0.86,6.85
,DAP,0.48,5.43
,MOP,-,5.76
2014-2015,Urea,8.78,26.38
,TSP,0.88,7.22
,DAP,0.63,5.97
,MOP,-,6.40
2015-2016,Urea,10.08,22.91
,TSP,0.95,7.30
,DAP,1.02,6.58
,MOP,-,7.26
2016-2017,Urea,9.23,23.66
,TSP,1.07,7.40
,DAP,0.59,6.09
,MOP,-,7.81
2017-2018,Urea,7.64,24.27
,TSP,1.00,7.07
,DAP,0.53,6.89
,MOP,-,7.89
2018-2019,Urea,7.83,25.94
,TSP,0.97,7.81
,DAP,0.24,7.63
,MOP,-,7.24
2019-2020,Urea,7.96,25.10
,TSP,1.04,6.91
,DAP,0.76,9.62
,MOP,-,7.16
2020-2021,Urea,10.34,24.63
,TSP,.92,5.23
,DAP,1.02,14.24
,MOP,-,7.98
2021-2022,Urea,10.10,26.63
,TSP,0.88,7.36
,DAP,1.02,16.85
,MOP,-,7.90
2022-2023,Urea,7.18,27.52
,TSP,0.88,7.79
,DAP,1.19,15.84
,MOP,-,7.78
2023-2024,Urea,6.94,26.23
,TSP,1.00,7.06
,DAP,0.92,14.94
,MOP,-,9.43
