Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
1,Barguna,0,0,2106,0,0,0,1003,4298,4095,1003,4298,4095
2,Barishal,0,0,2255,0,0,0,1828,1002,1724,1828,1002,1724
3,Bhola,0,0,315,0,0,0,221,219,141,221,219,141
4,Jhallokati,0,0,481,0,0,0,275,288,318,275,288,318
5,Patuakhali,0,0,1901,0,0,0,2632,3372,3392,2632,3372,3392
6,Pirojpur,0,0,2243,0,0,0,272,360,1176,272,360,1176
1,Barishal,0,0,9302,0,0,0,6231,9539,10846,6231,9539,10846
7,Bandarban,0,0,6,0,0,0,40,203,38,40,203,38
8,Brahmanbaria,0,0,105,0,0,0,258,40,231,258,40,231
9,Chandpur,0,0,1569,0,0,0,1893,1774,2163,1893,1774,2163
10,Chattogram,0,0,560,0,0,0,1369,1384,1733,1369,1384,1733
11,Cumilla,0,0,1343,0,0,0,1057,1338,1320,1057,1338,1320
12,Cox's Bazar,0,0,48,0,0,0,153,195,195,153,195,195
13,Feni,0,0,837,0,0,0,387,396,370,387,396,370
14,Khagrachhari,0,0,32,0,0,0,48,38,30,48,38,30
15,Laksmipur,0,0,962,0,0,0,1014,1047,826,1014,1047,826
16,Noakhali,0,0,2044,0,0,0,1544,2242,2248,1544,2242,2248
17,Rangamati,0,0,15,0,0,0,32,50,70,32,50,70
2,Chattogram,0,0,7521,0,0,0,7795,8707,9224,7795,8707,9224
18,Dhaka,0,0,209,0,0,0,326,325,336,326,325,336
19,Faridpur,0,7,1079,212,209,155,3411,3361,3160,3623,3570,3315
20,Gazipur,0,258,630,135,133,929,935,956,201,1070,1089,1130
21,Gopalganj,20,5,2090,723,75,0,2093,2935,3518,2816,3010,3518
22,Kishorganj,0,0,187,0,0,0,336,346,367,336,346,367
23,Madaripur,0,0,2478,447,0,0,8881,8903,8639,9328,8903,8639
24,Manikganj,0,0,125,0,0,0,346,328,347,346,328,347
25,Munshiganj,0,0,87,0,0,0,314,303,314,314,303,314
26,Narayanganj,0,0,114,1,0,0,110,109,94,111,109,94
27,Narsingdi,0,0,468,0,0,0,910,1150,1154,910,1150,1154
28,Rajbari,0,0,312,0,0,0,1942,1907,1469,1942,1907,1469
29,Shariatpur,0,0,442,0,0,0,835,963,932,835,963,932
30,Tangail,3,0,756,60,59,59,1696,1716,1706,1756,1775,1765
3,Dhaka,23,270,8977,1578,476,1143,22135,23302,22237,23713,23778,23380
31,Bagerhat,0,0,2010,0,0,0,3147,3530,3505,3147,3530,3505
32,Chuadanga,0,64,130,0,5,5,304,302,306,304,307,311
33,Jashore,5,6,646,58,58,0,936,949,984,994,1007,984
34,Jhenaidah,0,0,964,0,0,0,939,858,1040,939,858,1040
35,Khulna,0,0,834,0,0,0,1552,1587,1677,1552,1587,1677
36,Kushtia,0,0,508,0,0,0,828,832,897,828,832,897
,,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18,2015-16,2016-17,2017-18
37,Magura,0,0,1048,0,0,0,1305,1355,1413,1305,1355,1413
38,Meherpur,10,10,110,57,36,37,99,111,103,156,147,140
39,Narail,18,18,1117,405,69,72,28,386,421,433,455,493
40,Satkhira,8,7,1395,38,31,29,1230,1076,1217,1268,1107,1246
4,Khulna,41,105,8763,558,199,143,10368,10986,11563,10926,11185,11706
41,Jamalpur,0,0,189,0,0,0,478,448,447,478,448,447
42,Mymensing,0,0,1991,0,0,0,1687,1455,1515,1687,1455,1515
43,Netrakona,0,0,32,0,0,0,84,94,100,84,94,100
44,Sherpur,0,0,280,0,0,0,254,277,300,254,277,300
5,Mymensing,0,0,2493,0,0,0,2503,2274,2362,2503,2274,2362
45,Bogura,0,0,1883,0,0,0,1377,3077,3259,1377,3077,3259
46,Joypurhat,3,3,243,78,74,43,575,392,234,653,466,277
47,Naogaon,20,18,4998,837,921,991,1672,672,650,2509,1593,1641
48,Natore,0,0,1272,0,0,0,4681,4692,6047,4681,4692,6047
49,Chapai Nawabganj,0,0,151,0,0,0,135,150,167,135,150,167
50,Pabna,0,0,505,0,0,0,1619,1151,1292,1619,1151,1292
51,Rajshahi,0,0,978,0,0,0,1205,1171,1167,1205,1171,1167
52,Sirajganj,0,0,709,0,0,0,660,1166,1324,660,1166,1324
6,Rajshahi,0,21,10740,915,995,1034,11924,12471,14140,12839,13466,15174
53,Dinajpur,0,0,312,0,0,0,172,188,189,172,188,189
54,Gaibandha,0,0,87,0,0,0,56,57,61,56,57,61
55,Kurigram,0,0,0,0,0,0,9,9,0,9,9,0
56,Lalmonirhat,0,0,86,0,0,0,7,178,182,7,178,182
57,Nilphamari,0,0,20,0,0,0,16,18,18,16,18,18
58,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,0,250,0,0,0,346,326,378,346,326,378
60,Thakurgaon,0,0,14,0,0,0,7,9,10,7,9,10
7,Rangpur,0,0,770,0,0,0,613,785,838,613,785,838
61,Habiganj,0,0,113,0,0,0,244,246,198,244,246,198
62,Maulvibazar,0,0,4,0,0,0,19,19,19,19,19,19
63,Sunamganj,0,0,195,0,0,0,1131,1120,625,1131,1120,625
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,313,0,0,0,1394,1385,842,1394,1385,842
,BANGLADESH,64,396,48879,3051,1670,2320,62963,69449,72052,66014,71119,74372
