Name of Crops,2015-16,,2016-17,,2017-18,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Rabi Brinjal,78458,340150,80195,347541,80618,355862
Cauliflower,47749,268484,48725,277500,48083,274297
Cabbage,44342,295744,45681,311650,45829,321719
Gourd/Water Gourd,45784,218123,46664,226084,46095,222315
Rabi pumpkin,42636,186112,42612,190646,41664,191087
Tomato,67535,368121,68366,388725,69509,385038
Radish,65139,280871,65652,280524,63066,284090
Bean,49923,128676,51595,137495,50888,134860
Bengal Spinach (Palong shak),21545,50555,21598,66292,22873,55609
Red Amaranth (Lalshak),28089,51664,28436,51664,29403,59150
Carrot,4368,15679,4533,16306,5084,18674
Laushak,15373,24702,15474,25100,16334,28647
Other winter Vegetables,17867,40097,18615,44412,18687,41003
Total-,527908,2268978,538146,2363939,538133,2372351
