Zila/Division,,2016-17,,,,,2017-18,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,1449,586,195.21,18.006,10558,677,274,199.50,18.402,5041
2,Barishal,3948,1598,219.93,20.286,32411,3805,1540,215.00,19.832,30539
3,Bhola,20041,8110,289.32,26.687,216434,18113,7330,288.96,26.654,195369
4,Jhalakathi,688,278,174.85,16.128,4490,1052,426,215.00,19.832,8443
5,Patuakhali,1138,461,162.41,14.981,6899,1153,467,199.90,18.439,8603
6,Pirojpur,2243,908,132.94,12.262,11130,2634,1066,145.23,13.396,14279
1,"Barishal
Division",29507,11941,255.96,23.610,281923,27434,11102,256.11,23.624,262275
7,Bandarban,926,375,106.96,9.866,3697,1357,549,105.57,9.737,5347
8,Brahmanbaria,4410,1785,143.95,13.278,23696,4942,2000,141.52,13.053,26106
9,Chandpur,33987,13754,235.35,21.709,298576,25353,10260,186.33,17.187,176333
10,Chattogram,11327,4584,152.88,14.101,64637,11873,4805,156.12,14.401,69192
11,Cumilla,32753,13254,200.35,18.480,244940,28750,11634,199.56,18.407,214160
12,Cox' Bazar,2205,892,109.46,10.097,9009,4942,2000,138.43,12.768,25536
13,Feni,592,240,136.78,12.617,3023,634,257,145.51,13.422,3444
14,Khagrachari,364,147,147.55,13.610,2005,1397,565,114.16,10.530,5953
15,Laksmipur,707,286,120.90,11.152,3191,650,263,145.16,13.390,3522
16,Noakhali,579,234,119.15,10.990,2575,202,82,146.25,13.490,1103
17,Rangamati,807,327,116.85,10.778,3520,218,88,120.75,11.138,983
2,"Chattogram
Division",88657,35878,199.09,18.364,658867,80318,32503,177.34,16.358,531678
18,Dhaka,4942,2000,224.95,20.749,41497,4710,1906,233.09,21.500,40980
19,Faridpur,640,259,256.47,23.657,6127,736,298,251.50,23.198,6909
20,Gazipur,669,271,150.13,13.848,3749,340,138,141.03,13.009,1790
21,Gopalgonj,505,204,242.67,22.384,4574,751,304,241.85,22.308,6780
22,Kishoregonj,10402,4209,141.02,13.007,54754,13454,5445,142.35,13.130,71488
23,Madaripur,1857,751,205.01,18.910,14211,1265,512,210.27,19.395,9929
24,Manikgonj,5511,2230,218.46,20.151,44940,3788,1533,218.15,20.122,30846
25,Munsigonj,93041,37652,354.60,32.708,1231517,89748,36319,353.57,32.613,1184479
26,Narayanganj,6082,2461,309.61,28.558,70288,7440,3011,305.57,28.186,84862
27,Narsingdi,3833,1551,138.04,12.733,19750,3322,1344,161.79,14.923,20062
28,Rajbari,372,151,206.03,19.004,2861,421,170,198.73,18.331,3123
29,Shariatpur,4552,1842,269.55,24.863,45800,4940,1999,269.38,24.847,49672
30,Tangail,8934,3615,147.47,13.603,49180,7513,3040,142.43,13.138,39943
3,"Dhaka
Division",141340,57197,301.23,27.785,1589248,138428,56019,300.14,27.685,1550863
31,Bagerhat,1296,524,169.13,15.600,8182,2445,989,165.09,15.228,15067
32,Chuadanga,4606,1864,235.62,21.734,40510,3553,1438,235.48,21.721,31230
