District name,December-17,,,,,,,
,With Food,,,,,,Witout Food,
,one meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,350,250,0,0,0,0,400,300
Khagrachari,332,219,0,0,0,0,350,250
Rangamati,400,300,350,250,300,200,500,400
Chittagong,476,342,441,322,400,303,495,353
Coxbazar,500,350,450,300,400,250,550,400
Comilla,375,308,346,278,322,200,437,0
Chandpur,0,0,0,0,0,0,342,0
Brahmmanbaria,350,275,300,0,260,215,380,315
Noakhali,467,0,400,0,344,0,483,0
Lakshmipur,290,0,0,0,0,0,350,0
Feni,0,0,0,0,423,0,491,0
Chittagong Division,393,292,381,288,350,234,434,336
Sylhet,375,290,368,270,0,0,397,300
Maulavi Bazar,370,284,337,248,0,0,378,297
Sunamganj,300,254,0,0,0,0,350,298
Habiganj,354,258,0,0,0,0,395,260
Sylhet Division,350,272,353,259,0,0,380,289
Dhaka,450,435,435,412,396,350,550,500
Gazipur,465,398,0,0,343,225,473,312
Manikganj,388,254,356,300,326,0,415,400
Munshiganj,401,0,0,0,300,300,411,350
Narayanganj,350,0,0,0,311,300,401,350
Narsingdi,400,0,375,230,351,0,411,295
Faridpur,358,300,300,0,0,0,400,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,301,250,0,0,263,200,324,275
Gopalganj,464,409,397,305,313,297,469,444
Shariatpur,302,200,0,0,0,0,388,302
Tangail,337,289,280,0,0,0,355,270
Kishoreganj,0,0,377,0,365,0,418,438
Dhaka Division,376,317,360,312,330,279,413,358
Mymensing,450,290,0,0,0,0,460,300
Jamalpur,322,0,293,230,319,225,366,250
Sherpur,450,0,400,0,0,0,500,0
Netrokona,400,0,350,200,0,0,450,350
Mymensing Division,406,290,348,215,319,225,444,300
