Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,0,0,3,39,216,546,333,249,141,64,,,
Tangail,0,0,8,58,200,546,171,459,109,221,7,38,1817
Mymensingh,0,0,2,42,289,430,265,504,61,188,,,
Faridpur,0,0,0,18,175,317,465,362,124,70,29,174,1734
Madaripur,0,0,1,42,166,427,357,192,139,81,27,113,
Srimangal,3,0,109,39,236,172,295,428,189,166,2,66,1705
Sylhet,0,0,127,143,290,664,703,928,200,240,0,14,3309
Bogura,0,0,6,24,274,391,278,412,117,93,0,1,1596
Dinajpur,0,0,0,22,278,273,180,407,144,442,0,5,1751
Ishwardi,0,0,1,41,179,396,315,324,182,114,18,18,1588
Rajshahi,0,0,0,15,140,263,325,542,135,116,1,1,1538
Rangpur,0,0,4,27,****,201,194,466,193,384,0,2,******
Syedpur,0,0,0,53,316,218,318,540,235,351,0,0,2031
Chuadanga,0,0,13,6,224,275,322,515,154,61,37,37,1644
Jashore,0,1,0,99,159,365,328,254,334,167,45,0,1752
Khulna,0,3,0,2,2,124,135,469,524,203,339,234,2035
Mongla,0,0,0,0,187,430,867,338,408,251,2,2,2485
Satkhira,0,3,0,1,122,440,472,248,351,217,3,87,1944
Barishal,0,1,1,0,50,404,379,296,244,277,1,69,1722
Bhola,0,1,0,2,77,654,402,363,197,240,2,68,2006
Khapupara,4,0,0,0,123,554,836,426,344,278,0,50,2615
Patuakhali,0,0,0,1,70,541,780,447,296,249,2,71,2457
Chandpur,2,0,2,3,87,437,391,419,261,196,30,126,1954
Ambagan(Ctg),0,0,0,21,187,743,904,685,,,,,
Chattogram,0,0,0,2,130,793,1071,735,364,234,234,0,3563
Cumilla,0,0,0,3,132,258,636,288,544,118,36,164,2179
Cox`s Bazar,0,0,0,46,160,731,1097,995,266,112,39,39,3485
Feni,0,0,0,16,75,530,792,439,296,193,19,89,2449
Hatia,1,0,0,2,170,953,795,801,322,169,,,
Kutubdia,0,0,0,11,100,816,1145,893,228,215,,,
Maijdee Court,0,0,0,6,158,639,551,449,233,212,0,92,2340
Rangamat,0,0,0,32,99,375,478,568,231,146,0,73,2002
Sandwip,0,0,0,0,137,754,866,894,372,137,0,61,3221
Sitakunda,0,0,0,3,74,1072,716,672,221,196,,,
Teknaf,0,0,0,12,59,874,1068,594,99,18,,,
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokonai,,,,,,,,,,,,,
